Iniciando Testbench
---------------
| A | B | SLT | Cin | op | cout | s | result |
| 0 | 0 | 0 | 0 | 010 | 0 | 0 | 0 | OK
| 0 | 0 | 0 | 1 | 010 | 0 | 1 | 1 | OK
| 0 | 1 | 0 | 0 | 010 | 0 | 1 | 1 | OK
| 0 | 1 | 0 | 1 | 010 | 1 | 0 | 0 | OK
| 1 | 0 | 0 | 0 | 010 | 0 | 1 | 1 | OK
| 1 | 0 | 0 | 1 | 010 | 1 | 0 | 0 | OK
| 1 | 1 | 0 | 0 | 010 | 1 | 0 | 0 | OK
| 1 | 1 | 0 | 1 | 010 | 1 | 1 | 1 | OK
| 0 | 0 | 0 | 0 | 110 | 0 | 0 | 0 | OK
| 0 | 0 | 0 | 1 | 110 | 0 | 1 | 1 | OK
| 0 | 1 | 0 | 0 | 110 | 0 | 1 | 1 | OK
| 0 | 1 | 0 | 1 | 110 | 1 | 0 | 0 | OK
| 1 | 0 | 0 | 0 | 110 | 0 | 1 | 1 | OK
| 1 | 0 | 0 | 1 | 110 | 1 | 0 | 0 | OK
| 1 | 1 | 0 | 0 | 110 | 1 | 0 | 0 | OK
| 1 | 1 | 0 | 1 | 110 | 1 | 1 | 1 | OK
| 0 | 0 | 0 | 0 | 000 | 0 | 0 | 0 | OK
| 0 | 0 | 0 | 1 | 000 | 0 | 1 | 0 | OK
| 0 | 1 | 0 | 0 | 000 | 0 | 1 | 0 | OK
| 0 | 1 | 0 | 1 | 000 | 1 | 0 | 0 | OK
| 1 | 0 | 0 | 0 | 000 | 0 | 1 | 0 | OK
| 1 | 0 | 0 | 1 | 000 | 1 | 0 | 0 | OK
| 1 | 1 | 0 | 0 | 000 | 1 | 0 | 1 | OK
| 1 | 1 | 0 | 1 | 000 | 1 | 1 | 1 | OK
| 0 | 0 | 0 | 0 | 001 | 0 | 1 | 0 | OK
| 0 | 0 | 0 | 1 | 001 | 1 | 0 | 0 | OK
| 0 | 1 | 0 | 0 | 001 | 0 | 0 | 1 | OK
| 0 | 1 | 0 | 1 | 001 | 0 | 1 | 1 | OK
| 1 | 0 | 0 | 0 | 001 | 1 | 0 | 1 | OK
| 1 | 0 | 0 | 1 | 001 | 1 | 1 | 1 | OK
| 1 | 1 | 0 | 0 | 001 | 0 | 1 | 1 | OK
| 1 | 1 | 0 | 1 | 001 | 1 | 0 | 1 | OK
| 0 | 0 | 0 | 0 | 101 | 0 | 1 | 1 | OK
| 0 | 0 | 0 | 1 | 101 | 1 | 0 | 1 | OK
| 0 | 1 | 0 | 0 | 101 | 0 | 0 | 0 | OK
| 0 | 1 | 0 | 1 | 101 | 0 | 1 | 0 | OK
| 1 | 0 | 0 | 0 | 101 | 1 | 0 | 0 | OK
| 1 | 0 | 0 | 1 | 101 | 1 | 1 | 0 | OK
| 1 | 1 | 0 | 0 | 101 | 0 | 1 | 0 | OK
| 1 | 1 | 0 | 1 | 101 | 1 | 0 | 0 | OK
| 0 | 0 | 0 | 0 | 011 | 0 | 1 | 0 | OK
| 0 | 0 | 0 | 1 | 011 | 1 | 0 | 0 | OK
| 0 | 1 | 0 | 0 | 011 | 0 | 0 | 1 | OK
| 0 | 1 | 0 | 1 | 011 | 0 | 1 | 1 | OK
| 1 | 0 | 0 | 0 | 011 | 1 | 0 | 1 | OK
| 1 | 0 | 0 | 1 | 011 | 1 | 1 | 1 | OK
| 1 | 1 | 0 | 0 | 011 | 0 | 1 | 0 | OK
| 1 | 1 | 0 | 1 | 011 | 1 | 0 | 0 | OK
| 0 | 0 | 0 | 0 | 111 | 0 | 1 | 0 | OK
| 0 | 0 | 0 | 1 | 111 | 1 | 0 | 0 | OK
| 0 | 1 | 0 | 0 | 111 | 0 | 0 | 0 | OK
| 0 | 1 | 0 | 1 | 111 | 0 | 1 | 0 | OK
| 1 | 0 | 0 | 0 | 111 | 1 | 0 | 0 | OK
| 1 | 0 | 0 | 1 | 111 | 1 | 1 | 0 | OK
| 1 | 1 | 0 | 0 | 111 | 0 | 1 | 0 | OK
| 1 | 1 | 0 | 1 | 111 | 1 | 0 | 0 | OK
Testes Efetuados  = 56
Erros Encontrados = 0
