Iniciando Testbench
---------------
| Clk | En | Rst | d | q |
|  1  | 1  |  1  | 1 | 0 | OK
|  0  | 1  |  1  | 1 | 0 | OK
|  1  | 1  |  1  | 1 | 0 | OK
|  0  | 0  |  0  | 1 | 0 | OK
|  1  | 0  |  0  | 1 | 0 | OK
|  0  | 1  |  0  | 1 | 0 | OK
|  1  | 1  |  0  | 1 | 1 | OK
|  0  | 1  |  0  | 1 | 1 | OK
|  0  | 1  |  0  | 0 | 1 | OK
|  1  | 1  |  0  | 0 | 0 | OK
|  0  | 1  |  0  | 0 | 0 | OK
|  1  | 1  |  0  | 0 | 0 | OK
|  1  | 1  |  0  | 1 | 0 | OK
|  0  | 1  |  0  | 1 | 0 | OK
|  1  | 1  |  0  | 1 | 1 | OK
|  1  | 1  |  0  | 0 | 1 | OK
|  1  | 1  |  0  | 1 | 1 | OK
|  1  | 1  |  0  | 0 | 1 | OK
|  1  | 1  |  0  | 1 | 1 | OK
|  1  | 1  |  0  | 0 | 1 | OK
Testes Efetuados  = 21
Erros Encontrados = 0
