Iniciando Testbench
---------------
| D | Sel | Y |
| 00000000000000000000000000000001 | 00000 | 1 | OK
| 00000000000000000000000000000010 | 00001 | 1 | OK
| 00000000000000000000000000000100 | 00010 | 1 | OK
| 00000000000000000000000000001000 | 00011 | 1 | OK
| 00000000000000000000000000010000 | 00100 | 1 | OK
| 00000000000000000000000000100000 | 00101 | 1 | OK
| 00000000000000000000000001000000 | 00110 | 1 | OK
| 00000000000000000000000010000000 | 00111 | 1 | OK
| 00000000000000000000000100000000 | 01000 | 1 | OK
| 00000000000000000000001000000000 | 01001 | 1 | OK
| 00000000000000000000010000000000 | 01010 | 1 | OK
| 00000000000000000000100000000000 | 01011 | 1 | OK
| 00000000000000000001000000000000 | 01100 | 1 | OK
| 00000000000000000010000000000000 | 01101 | 1 | OK
| 00000000000000000100000000000000 | 01110 | 1 | OK
| 00000000000000001000000000000000 | 01111 | 1 | OK
| 00000000000000010000000000000000 | 10000 | 1 | OK
| 00000000000000100000000000000000 | 10001 | 1 | OK
| 00000000000001000000000000000000 | 10010 | 1 | OK
| 00000000000010000000000000000000 | 10011 | 1 | OK
| 00000000000100000000000000000000 | 10100 | 1 | OK
| 00000000001000000000000000000000 | 10101 | 1 | OK
| 00000000010000000000000000000000 | 10110 | 1 | OK
| 00000000100000000000000000000000 | 10111 | 1 | OK
| 00000001000000000000000000000000 | 11000 | 1 | OK
| 00000010000000000000000000000000 | 11001 | 1 | OK
| 00000100000000000000000000000000 | 11010 | 1 | OK
| 00001000000000000000000000000000 | 11011 | 1 | OK
| 00010000000000000000000000000000 | 11100 | 1 | OK
| 00100000000000000000000000000000 | 11101 | 1 | OK
| 01000000000000000000000000000000 | 11110 | 1 | OK
| 10000000000000000000000000000000 | 11111 | 1 | OK
| 11111111111111111111111111111110 | 00000 | 0 | OK
| 11111111111111111111111111111101 | 00001 | 0 | OK
| 11111111111111111111111111111011 | 00010 | 0 | OK
| 11111111111111111111111111110111 | 00011 | 0 | OK
| 11111111111111111111111111101111 | 00100 | 0 | OK
| 11111111111111111111111111011111 | 00101 | 0 | OK
| 11111111111111111111111110111111 | 00110 | 0 | OK
| 11111111111111111111111101111111 | 00111 | 0 | OK
| 11111111111111111111111011111111 | 01000 | 0 | OK
| 11111111111111111111110111111111 | 01001 | 0 | OK
| 11111111111111111111101111111111 | 01010 | 0 | OK
| 11111111111111111111011111111111 | 01011 | 0 | OK
| 11111111111111111110111111111111 | 01100 | 0 | OK
| 11111111111111111101111111111111 | 01101 | 0 | OK
| 11111111111111111011111111111111 | 01110 | 0 | OK
| 11111111111111110111111111111111 | 01111 | 0 | OK
| 11111111111111101111111111111111 | 10000 | 0 | OK
| 11111111111111011111111111111111 | 10001 | 0 | OK
| 11111111111110111111111111111111 | 10010 | 0 | OK
| 11111111111101111111111111111111 | 10011 | 0 | OK
| 11111111111011111111111111111111 | 10100 | 0 | OK
| 11111111110111111111111111111111 | 10101 | 0 | OK
| 11111111101111111111111111111111 | 10110 | 0 | OK
| 11111111011111111111111111111111 | 10111 | 0 | OK
| 11111110111111111111111111111111 | 11000 | 0 | OK
| 11111101111111111111111111111111 | 11001 | 0 | OK
| 11111011111111111111111111111111 | 11010 | 0 | OK
| 11110111111111111111111111111111 | 11011 | 0 | OK
| 11101111111111111111111111111111 | 11100 | 0 | OK
| 11011111111111111111111111111111 | 11101 | 0 | OK
| 10111111111111111111111111111111 | 11110 | 0 | OK
| 01111111111111111111111111111111 | 11111 | 0 | OK
Testes Efetuados  = 64
Erros Encontrados = 0
