Iniciando Testbench
---------------
| D0 | D1 | D2 | D3 | Sel | Y |
| 0 | 0 | 0 | 0 | 00 | 0 | ERROR
| 0 | 0 | 0 | 0 | 01 | 0 | OK
| 0 | 0 | 0 | 0 | 10 | 0 | OK
| 0 | 0 | 0 | 0 | 11 | 0 | OK
| 0 | 0 | 0 | 1 | 00 | 0 | OK
| 0 | 0 | 0 | 1 | 01 | 0 | OK
| 0 | 0 | 0 | 1 | 10 | 0 | OK
| 0 | 0 | 0 | 1 | 11 | 1 | OK
| 0 | 0 | 1 | 0 | 00 | 0 | OK
| 0 | 0 | 1 | 0 | 01 | 0 | OK
| 0 | 0 | 1 | 0 | 10 | 1 | OK
| 0 | 0 | 1 | 0 | 11 | 0 | OK
| 0 | 0 | 1 | 1 | 00 | 0 | OK
| 0 | 0 | 1 | 1 | 01 | 0 | OK
| 0 | 0 | 1 | 1 | 10 | 1 | OK
| 0 | 0 | 1 | 1 | 11 | 1 | OK
| 0 | 1 | 0 | 0 | 00 | 0 | OK
| 0 | 1 | 0 | 0 | 01 | 1 | OK
| 0 | 1 | 0 | 0 | 10 | 0 | OK
| 0 | 1 | 0 | 0 | 11 | 0 | OK
| 0 | 1 | 0 | 1 | 00 | 0 | OK
| 0 | 1 | 0 | 1 | 01 | 1 | OK
| 0 | 1 | 0 | 1 | 10 | 0 | OK
| 0 | 1 | 0 | 1 | 11 | 1 | OK
| 0 | 1 | 1 | 0 | 00 | 0 | OK
| 0 | 1 | 1 | 0 | 01 | 1 | OK
| 0 | 1 | 1 | 0 | 10 | 1 | OK
| 0 | 1 | 1 | 0 | 11 | 0 | OK
| 0 | 1 | 1 | 1 | 00 | 0 | OK
| 0 | 1 | 1 | 1 | 01 | 1 | OK
| 0 | 1 | 1 | 1 | 10 | 1 | OK
| 0 | 1 | 1 | 1 | 11 | 1 | OK
| 1 | 0 | 0 | 0 | 00 | 1 | OK
| 1 | 0 | 0 | 0 | 01 | 0 | OK
| 1 | 0 | 0 | 0 | 10 | 0 | OK
| 1 | 0 | 0 | 0 | 11 | 0 | OK
| 1 | 0 | 0 | 1 | 00 | 1 | OK
| 1 | 0 | 0 | 1 | 01 | 0 | OK
| 1 | 0 | 0 | 1 | 10 | 0 | OK
| 1 | 0 | 0 | 1 | 11 | 1 | OK
| 1 | 0 | 1 | 0 | 00 | 1 | OK
| 1 | 0 | 1 | 0 | 01 | 0 | OK
| 1 | 0 | 1 | 0 | 10 | 1 | OK
| 1 | 0 | 1 | 0 | 11 | 0 | OK
| 1 | 0 | 1 | 1 | 00 | 1 | OK
| 1 | 0 | 1 | 1 | 01 | 0 | OK
| 1 | 0 | 1 | 1 | 10 | 1 | OK
| 1 | 0 | 1 | 1 | 11 | 1 | OK
| 1 | 1 | 0 | 0 | 00 | 1 | OK
| 1 | 1 | 0 | 0 | 01 | 1 | OK
| 1 | 1 | 0 | 0 | 10 | 0 | OK
| 1 | 1 | 0 | 0 | 11 | 0 | OK
| 1 | 1 | 0 | 1 | 00 | 1 | OK
| 1 | 1 | 0 | 1 | 01 | 1 | OK
| 1 | 1 | 0 | 1 | 10 | 0 | OK
| 1 | 1 | 0 | 1 | 11 | 1 | OK
| 1 | 1 | 1 | 0 | 00 | 1 | OK
| 1 | 1 | 1 | 0 | 01 | 1 | OK
| 1 | 1 | 1 | 0 | 10 | 1 | OK
| 1 | 1 | 1 | 0 | 11 | 0 | OK
| 1 | 1 | 1 | 1 | 00 | 1 | OK
| 1 | 1 | 1 | 1 | 01 | 1 | OK
| 1 | 1 | 1 | 1 | 10 | 1 | OK
| 1 | 1 | 1 | 1 | 11 | 1 | OK
Testes Efetuados  = 64
Erros Encontrados = 1
