Iniciando Testbench
---------------
|   A   |                 Y                |
| 00000 | 00000000000000000000000000000001 | OK
| 00001 | 00000000000000000000000000000010 | OK
| 00010 | 00000000000000000000000000000100 | OK
| 00011 | 00000000000000000000000000001000 | OK
| 00100 | 00000000000000000000000000010000 | OK
| 00101 | 00000000000000000000000000100000 | OK
| 00110 | 00000000000000000000000001000000 | OK
| 00111 | 00000000000000000000000010000000 | OK
| 01000 | 00000000000000000000000100000000 | OK
| 01001 | 00000000000000000000001000000000 | OK
| 01010 | 00000000000000000000010000000000 | OK
| 01011 | 00000000000000000000100000000000 | OK
| 01100 | 00000000000000000001000000000000 | OK
| 01101 | 00000000000000000010000000000000 | OK
| 01110 | 00000000000000000100000000000000 | OK
| 01111 | 00000000000000001000000000000000 | OK
| 10000 | 00000000000000010000000000000000 | OK
| 10001 | 00000000000000100000000000000000 | OK
| 10010 | 00000000000001000000000000000000 | OK
| 10011 | 00000000000010000000000000000000 | OK
| 10100 | 00000000000100000000000000000000 | OK
| 10101 | 00000000001000000000000000000000 | OK
| 10110 | 00000000010000000000000000000000 | OK
| 10111 | 00000000100000000000000000000000 | OK
| 11000 | 00000001000000000000000000000000 | OK
| 11001 | 00000010000000000000000000000000 | OK
| 11010 | 00000100000000000000000000000000 | OK
| 11011 | 00001000000000000000000000000000 | OK
| 11100 | 00010000000000000000000000000000 | OK
| 11101 | 00100000000000000000000000000000 | OK
| 11110 | 01000000000000000000000000000000 | OK
| 11111 | 10000000000000000000000000000000 | OK
Testes Efetuados  = 32
Erros Encontrados = 0
