Iniciando Testbench
---------------
| RegA | RegB | RegC | clk | rst | dIn | RW | RD1 | RD2
| 00001 | 00001 | 00001 | 1 | 1 | 0 | 0 | 0 | 0 | OK
| 00001 | 00001 | 00001 | 0 | 1 | 0 | 0 | 0 | 0 | OK
| 00001 | 00001 | 00001 | 1 | 0 | 0 | 0 | 0 | 0 | OK
| 00000 | 00001 | 00000 | 0 | 0 | 1 | 1 | 0 | 0 | OK
| 00000 | 00001 | 00000 | 1 | 0 | 1 | 1 | 1 | 0 | OK
| 00000 | 00000 | 00000 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 00000 | 00000 | 00000 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 00001 | 00000 | 00001 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 00001 | 00000 | 00001 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 00001 | 00001 | 00001 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 00001 | 00001 | 00001 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 00010 | 00001 | 00010 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 00010 | 00001 | 00010 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 00010 | 00010 | 00010 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 00010 | 00010 | 00010 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 00011 | 00010 | 00011 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 00011 | 00010 | 00011 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 00011 | 00011 | 00011 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 00011 | 00011 | 00011 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 00100 | 00011 | 00100 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 00100 | 00011 | 00100 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 00100 | 00100 | 00100 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 00100 | 00100 | 00100 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 00101 | 00100 | 00101 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 00101 | 00100 | 00101 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 00101 | 00101 | 00101 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 00101 | 00101 | 00101 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 00110 | 00101 | 00110 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 00110 | 00101 | 00110 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 00110 | 00110 | 00110 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 00110 | 00110 | 00110 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 00111 | 00110 | 00111 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 00111 | 00110 | 00111 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 00111 | 00111 | 00111 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 00111 | 00111 | 00111 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01000 | 00111 | 01000 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 01000 | 00111 | 01000 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01000 | 01000 | 01000 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 01000 | 01000 | 01000 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01001 | 01000 | 01001 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 01001 | 01000 | 01001 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01001 | 01001 | 01001 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 01001 | 01001 | 01001 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01010 | 01001 | 01010 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 01010 | 01001 | 01010 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01010 | 01010 | 01010 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 01010 | 01010 | 01010 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01011 | 01010 | 01011 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 01011 | 01010 | 01011 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01011 | 01011 | 01011 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 01011 | 01011 | 01011 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01100 | 01011 | 01100 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 01100 | 01011 | 01100 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01100 | 01100 | 01100 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 01100 | 01100 | 01100 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01101 | 01100 | 01101 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 01101 | 01100 | 01101 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01101 | 01101 | 01101 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 01101 | 01101 | 01101 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01110 | 01101 | 01110 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 01110 | 01101 | 01110 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01110 | 01110 | 01110 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 01110 | 01110 | 01110 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01111 | 01110 | 01111 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 01111 | 01110 | 01111 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 01111 | 01111 | 01111 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 01111 | 01111 | 01111 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10000 | 01111 | 10000 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 10000 | 01111 | 10000 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10000 | 10000 | 10000 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 10000 | 10000 | 10000 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10001 | 10000 | 10001 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 10001 | 10000 | 10001 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10001 | 10001 | 10001 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 10001 | 10001 | 10001 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10010 | 10001 | 10010 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 10010 | 10001 | 10010 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10010 | 10010 | 10010 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 10010 | 10010 | 10010 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10011 | 10010 | 10011 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 10011 | 10010 | 10011 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10011 | 10011 | 10011 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 10011 | 10011 | 10011 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10100 | 10011 | 10100 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 10100 | 10011 | 10100 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10100 | 10100 | 10100 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 10100 | 10100 | 10100 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10101 | 10100 | 10101 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 10101 | 10100 | 10101 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10101 | 10101 | 10101 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 10101 | 10101 | 10101 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10110 | 10101 | 10110 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 10110 | 10101 | 10110 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10110 | 10110 | 10110 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 10110 | 10110 | 10110 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10111 | 10110 | 10111 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 10111 | 10110 | 10111 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 10111 | 10111 | 10111 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 10111 | 10111 | 10111 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 11000 | 10111 | 11000 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 11000 | 10111 | 11000 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 11000 | 11000 | 11000 | 0 | 0 | 1 | 1 | 1 | 1 | OK
| 11000 | 11000 | 11000 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 11001 | 11000 | 11001 | 0 | 0 | 1 | 1 | 0 | 1 | OK
| 11001 | 11000 | 11001 | 1 | 0 | 1 | 1 | 1 | 1 | OK
| 11001 | 11001 | 11001 | 0 | 0 | 1 | 1 | 1 | 1 | OK
