Iniciando Testbench
---------------
| A | Y |
| 01110111011010011001110101110101 | 11011101101001100111010111010100 | OK
| 01110011110111100000110101100111 | 11001111011110000011010110011100 | OK
| 01100011110101111000011101110011 | 10001111010111100001110111001100 | OK
| 11001111011011011101100100111110 | 00111101101101110110010011111000 | OK
| 11111000011101010001111110010100 | 11100001110101000111111001010000 | OK
| 01000111000001011100101101011010 | 00011100000101110010110101101000 | OK
| 11010100100000101010000011000011 | 01010010000010101000001100001100 | OK
| 10111100111100001101011110011001 | 11110011110000110101111001100100 | OK
| 11110001111110001101101011110000 | 11000111111000110110101111000000 | OK
| 11000010110100110101110011101010 | 00001011010011010111001110101000 | OK
| 11111110111001000011100010011001 | 11111011100100001110001001100100 | OK
| 01001111101010010001101111000111 | 00111110101001000110111100011100 | OK
| 10101101110001100100110011100011 | 10110111000110010011001110001100 | OK
| 01100010111111000011010001000001 | 10001011111100001101000100000100 | OK
| 01110001111011010001010101100010 | 11000111101101000101010110001000 | OK
| 10101101011010010010001101010000 | 10110101101001001000110101000000 | OK
| 00010010000000000100000111001011 | 01001000000000010000011100101100 | OK
| 01000101110101111111000011011100 | 00010111010111111100001101110000 | OK
| 00110010011111110011110011101111 | 11001001111111001111001110111100 | OK
| 00001010000100100010010100011111 | 00101000010010001001010001111100 | OK
Testes Efetuados  = 20
Erros Encontrados = 0
