Iniciando Testbench
---------------
| A | Y |
| 0011111100011001 | 00000000000000000011111100011001 | OK
| 0111100100111011 | 00000000000000000111100100111011 | OK
| 0101011111011100 | 00000000000000000101011111011100 | OK
| 0111011100101110 | 00000000000000000111011100101110 | OK
| 0100101101100000 | 00000000000000000100101101100000 | OK
| 0111010100010000 | 00000000000000000111010100010000 | OK
| 0101000011111010 | 00000000000000000101000011111010 | OK
| 0010110101000010 | 00000000000000000010110101000010 | OK
| 0101111000011111 | 00000000000000000101111000011111 | OK
| 0101101100001100 | 00000000000000000101101100001100 | OK
| 1001011001000100 | 11111111111111111001011001000100 | OK
| 1011100111000100 | 11111111111111111011100111000100 | OK
| 1010101111001101 | 11111111111111111010101111001101 | OK
| 1111011110010100 | 11111111111111111111011110010100 | OK
| 1010111000011001 | 11111111111111111010111000011001 | OK
| 1010010011100011 | 11111111111111111010010011100011 | OK
| 1001011011011010 | 11111111111111111001011011011010 | OK
| 1100101110011011 | 11111111111111111100101110011011 | OK
| 1011111100001010 | 11111111111111111011111100001010 | OK
| 1110001010100001 | 11111111111111111110001010100001 | OK
Testes Efetuados  = 20
Erros Encontrados = 0
